amenity,capacity,parking,access,fee,coordinates
parking,19.516616314199396,surface,,unknown,"[(1.8797384, 42.1061773), (1.8798951, 42.1061689), (1.8799594, 42.1061429), (1.8799646, 42.1061092), (1.8799646, 42.1060772), (1.8799646, 42.1060466), (1.8799718, 42.1060172), (1.8800042, 42.1059999), (1.8800347, 42.1060186), (1.8800473, 42.1060492), (1.880058, 42.1060786), (1.8800796, 42.1061066), (1.8801048, 42.1061305), (1.8801317, 42.1061519), (1.8801562, 42.106167), (1.8801718, 42.106174), (1.880179, 42.1062023), (1.8801923, 42.1062544), (1.8802037, 42.1062854), (1.8801591, 42.1063058), (1.8800395, 42.1063227), (1.8800148, 42.1063227), (1.8799882, 42.1063227), (1.8799598, 42.1063185), (1.8799313, 42.1063129), (1.8799028, 42.1063058), (1.8798781, 42.1062988), (1.8798554, 42.1062889), (1.8798307, 42.1062791), (1.8798079, 42.1062678), (1.8797832, 42.1062565), (1.8797661, 42.1062382), (1.8797528, 42.1062199), (1.8797395, 42.1062002), (1.8797384, 42.1061773)]"
parking,19.516616314199396,surface,,jun-sep: mo-su 10:00-20:00,"[(2.1052077, 41.2883678), (2.1050223, 41.2887171), (2.1049897, 41.2887317), (2.1049134, 41.288737), (2.1048341, 41.2887238), (2.1048025, 41.288771), (2.1042112, 41.2885784), (2.1041171, 41.2885478), (2.1040194, 41.288516), (2.1039885, 41.288491), (2.1039457, 41.2884379), (2.1039314, 41.2883531), (2.1040542, 41.2881235), (2.1042701, 41.2877205), (2.1053418, 41.2880614), (2.1053668, 41.2880679), (2.1053558, 41.2880887), (2.1053462, 41.2881084), (2.1052955, 41.2882009), (2.1052753, 41.2881947), (2.1052517, 41.2882386), (2.1051858, 41.2883613), (2.1052077, 41.2883678)]"
parking,19.516616314199396,surface,,jun-sep: mo-su 10:00-20:00,"[(2.1033603, 41.2873274), (2.1033355, 41.2873195), (2.1033107, 41.2873115), (2.1027396, 41.2871326), (2.1027271, 41.2871541), (2.1027213, 41.2871641), (2.1026414, 41.2871385), (2.1026182, 41.2871293), (2.102596, 41.2871196), (2.1025766, 41.2871087), (2.1025586, 41.2870942), (2.102549, 41.2870833), (2.1025385, 41.2870676), (2.102526, 41.2870435), (2.1025193, 41.2870178), (2.1025149, 41.2869768), (2.10253, 41.2869763), (2.1025387, 41.2869759), (2.102553, 41.2869754), (2.1025455, 41.2868968), (2.1026479, 41.2867012), (2.1029426, 41.2867969), (2.1029593, 41.2868021), (2.1029761, 41.2868073), (2.103277, 41.2869012), (2.103294, 41.2869064), (2.1033111, 41.2869116), (2.1036059, 41.2870044), (2.1036224, 41.2870096), (2.1036389, 41.2870148), (2.1039323, 41.2871076), (2.1039493, 41.2871129), (2.1039663, 41.2871182), (2.1042658, 41.2872115), (2.1040583, 41.2875853), (2.10378, 41.2874984), (2.1037986, 41.2874646), (2.1033603, 41.2873274)]"
parking,19.516616314199396,surface,,jun-sep: mo-su 10:00-20:00,"[(2.1051029, 41.2874725), (2.1051198, 41.2874778), (2.1051367, 41.2874832), (2.1054327, 41.2875772), (2.1054502, 41.2875827), (2.1054678, 41.2875882), (2.1053212, 41.2878597), (2.1053105, 41.2878794), (2.105283, 41.2879305), (2.1043663, 41.287643), (2.1043365, 41.2876336), (2.1043067, 41.2876241), (2.1042876, 41.2876183), (2.1044748, 41.2872755), (2.1047737, 41.2873684), (2.1047895, 41.2873734), (2.1048053, 41.2873784), (2.1051029, 41.2874725)]"
parking,19.516616314199396,surface,,no,"[(1.7984879, 41.7046824), (1.7983354, 41.7046366), (1.797903, 41.7045069), (1.7972384, 41.704329), (1.7972711, 41.7042577), (1.7978305, 41.7042642), (1.798554, 41.7044211), (1.7984879, 41.7046824)]"
parking,19.516616314199396,surface,,unknown,"[(2.6158149, 41.6004326), (2.6156337, 41.600358), (2.6155238, 41.6002895), (2.6154851, 41.6001768), (2.615536, 41.6000657), (2.6156622, 41.5999256), (2.6159289, 41.5997353), (2.6160959, 41.5997414), (2.6161977, 41.599787), (2.6164257, 41.5999758), (2.6165784, 41.6000474), (2.6171037, 41.6004387), (2.6170118, 41.6004958), (2.6165067, 41.6001617), (2.6161933, 41.6004818), (2.6160083, 41.6004737), (2.6158149, 41.6004326)]"
parking,19.516616314199396,,,unknown,"[(2.1309574, 41.478906), (2.1310076, 41.4788727), (2.1310508, 41.4789016), (2.1309901, 41.4789453), (2.1310695, 41.4789926), (2.1310368, 41.4790083), (2.1309901, 41.4790309), (2.130843, 41.4791019), (2.1306807, 41.4790066), (2.1307251, 41.4789794), (2.1306737, 41.4789497), (2.1308243, 41.4788255), (2.1309574, 41.478906)]"
parking,19.516616314199396,surface,,unknown,"[(2.3839182, 41.6389508), (2.383725, 41.6391725), (2.3835884, 41.6393431), (2.383241, 41.6393318), (2.3834537, 41.6384214), (2.3835396, 41.6384287), (2.3840431, 41.6385176), (2.3839182, 41.6389508)]"
parking,19.516616314199396,surface,,unknown,"[(1.7506294, 41.8378509), (1.7503397, 41.8380387), (1.7509531, 41.8386195), (1.7508848, 41.8386525), (1.7508409, 41.83863), (1.7507573, 41.838583), (1.7506682, 41.8384982), (1.7505242, 41.8384032), (1.750298, 41.8381734), (1.7502033, 41.8380957), (1.7501444, 41.8380028), (1.7501293, 41.8379006), (1.7503391, 41.8378618), (1.7504515, 41.8378577), (1.7504419, 41.8377576), (1.7505996, 41.8377484), (1.7506294, 41.8378509)]"
parking,19.516616314199396,surface,,unknown,"[(1.7509259, 41.8376248), (1.750849, 41.8375642), (1.7510433, 41.8375299), (1.7510964, 41.8374953), (1.7511179, 41.8375165), (1.75117, 41.8376054), (1.7512578, 41.8376759), (1.7512564, 41.8377116), (1.7511974, 41.8377372), (1.7511179, 41.8377321), (1.7510754, 41.8377167), (1.7510219, 41.837682), (1.7509259, 41.8376248)]"
parking,19.516616314199396,surface,,unknown,"[(1.8662327, 42.1420404), (1.8661891, 42.1421145), (1.8660951, 42.1421354), (1.8659918, 42.1421308), (1.8658665, 42.1421075), (1.8657819, 42.1420495), (1.865735, 42.1419171), (1.8657694, 42.1417314), (1.8658537, 42.141668), (1.8659565, 42.1417501), (1.8659326, 42.1418345), (1.8659604, 42.1419207), (1.8660044, 42.1419828), (1.8661003, 42.142037), (1.8662327, 42.1420404)]"
parking,19.516616314199396,surface,,unknown,"[(1.9650841, 42.2408636), (1.9653614, 42.2409341), (1.9653079, 42.2410586), (1.9652795, 42.2411245), (1.9650573, 42.2410887), (1.9650473, 42.2410454), (1.9642103, 42.2409514), (1.9642671, 42.2407745), (1.9650724, 42.2409032), (1.9650841, 42.2408636)]"
parking,19.516616314199396,surface,,unknown,"[(1.7827024, 41.6443662), (1.7829158, 41.6444698), (1.7832896, 41.6446513), (1.7832931, 41.6447761), (1.7832034, 41.6447715), (1.7826958, 41.6445261), (1.7824718, 41.6444232), (1.7825183, 41.6443847), (1.7827024, 41.6443662)]"
parking,19.516616314199396,surface,,unknown,"[(2.0655695, 41.4576641), (2.0653254, 41.4573524), (2.0657097, 41.4571108), (2.0657791, 41.4571857), (2.0658246, 41.4573658), (2.065877, 41.4572816), (2.0658727, 41.457203), (2.0658358, 41.4571136), (2.0659906, 41.457029), (2.0661492, 41.4570197), (2.0662148, 41.4570347), (2.0664136, 41.4570866), (2.066527, 41.457178), (2.0665237, 41.4572787), (2.0664789, 41.4574353), (2.0664394, 41.4576387), (2.0664669, 41.4577597), (2.0664665, 41.4578792), (2.0663552, 41.4578809), (2.0662677, 41.4578823), (2.0662657, 41.4578572), (2.0662548, 41.4577198), (2.0661054, 41.4574514), (2.0659603, 41.4572069), (2.0659663, 41.457288), (2.0659423, 41.4573459), (2.0658779, 41.457416), (2.0659157, 41.4575074), (2.0660178, 41.4574714), (2.0661131, 41.4576702), (2.0660895, 41.4576798), (2.06595, 41.4576879), (2.06595, 41.4577397), (2.0659225, 41.4577397), (2.0657706, 41.4577043), (2.0656315, 41.4576355), (2.0655695, 41.4576641)]"
parking,19.516616314199396,surface,,unknown,"[(2.0400458, 41.4730435), (2.0400547, 41.4728229), (2.041239, 41.4729366), (2.0411498, 41.4723216), (2.0410361, 41.4717283), (2.0409424, 41.4712537), (2.0407012, 41.4710777), (2.0410724, 41.470932), (2.0410855, 41.4710302), (2.0419172, 41.4707456), (2.0416924, 41.4710858), (2.0414937, 41.4715683), (2.0414021, 41.4719494), (2.041461, 41.4724106), (2.0415963, 41.4730812), (2.0412925, 41.4731739), (2.0400458, 41.4730435)]"
parking,19.516616314199396,surface,,unknown,"[(2.0465944, 41.3431191), (2.04717, 41.3430323), (2.0477754, 41.342943), (2.0477896, 41.3430316), (2.0478575, 41.3434541), (2.0474036, 41.3435314), (2.0472911, 41.3432942), (2.0466872, 41.3434984), (2.0466103, 41.343184), (2.0466015, 41.3431481), (2.0465944, 41.3431191)]"
parking,19.516616314199396,,,unknown,"[(2.0482588, 41.3418478), (2.0483487, 41.3420435), (2.0481492, 41.3420971), (2.0480589, 41.3419026), (2.0480871, 41.3418945), (2.0480681, 41.3418548), (2.0483044, 41.341789), (2.0483224, 41.3417767), (2.0483808, 41.3416894), (2.0484083, 41.3416483), (2.0484431, 41.3416252), (2.04847, 41.3416956), (2.048521, 41.3417716), (2.0485264, 41.3417797), (2.0485074, 41.3417846), (2.0484004, 41.3418118), (2.0483671, 41.3418203), (2.0482816, 41.3418419), (2.0482588, 41.3418478)]"
parking,19.516616314199396,,,unknown,"[(2.0480197, 41.3412977), (2.047848, 41.3410929), (2.0478244, 41.3410652), (2.047928, 41.3410147), (2.0480543, 41.3409586), (2.048108, 41.3409596), (2.0482327, 41.3409737), (2.0483298, 41.3410475), (2.0483948, 41.341172), (2.0484003, 41.3412326), (2.0483901, 41.341261), (2.0483869, 41.3412724), (2.0483821, 41.3412897), (2.0483687, 41.3413353), (2.0481131, 41.3414005), (2.0480197, 41.3412977)]"
parking,19.516616314199396,surface,,unknown,"[(2.0839957, 41.4830078), (2.0843061, 41.4830754), (2.0844957, 41.48314), (2.0845766, 41.4831887), (2.0845448, 41.4832721), (2.0841496, 41.4831549), (2.0840859, 41.4831768), (2.0840674, 41.4831966), (2.0839997, 41.4831539), (2.0839825, 41.4830784), (2.0839957, 41.4830078)]"
parking,19.516616314199396,surface,,no,"[(1.9966565, 42.1355647), (1.9966351, 42.1355238), (1.9966221, 42.1354577), (1.9966458, 42.1353935), (1.9966992, 42.1353609), (1.9968025, 42.1353521), (1.9968808, 42.1353715), (1.9969561, 42.1354004), (1.9969149, 42.135489), (1.9966565, 42.1355647)]"
parking,19.516616314199396,surface,,no,"[(2.066474, 41.3518618), (2.0666179, 41.3518545), (2.0666521, 41.3519414), (2.0666457, 41.3520311), (2.0665071, 41.3521447), (2.0664909, 41.3521597), (2.0659164, 41.3522334), (2.0658661, 41.352237), (2.0658182, 41.352237), (2.0657632, 41.3522352), (2.0657105, 41.3522316), (2.0656602, 41.3522316), (2.0656123, 41.3522262), (2.0651913, 41.3522245), (2.0651721, 41.3520591), (2.065847, 41.3519844), (2.0663758, 41.3518676), (2.066474, 41.3518618)]"
parking,19.516616314199396,underground,,unknown,"[(2.2387166, 41.4442002), (2.238644, 41.4441484), (2.2386295, 41.4441599), (2.238702, 41.4442117), (2.238697, 41.4442157), (2.2385767, 41.4441299), (2.2385613, 41.4441421), (2.2384654, 41.4440644), (2.2384745, 41.4440571), (2.2383427, 41.4439631), (2.2383821, 41.443931), (2.2383748, 41.4439197), (2.2383699, 41.4439079), (2.2383673, 41.4438951), (2.2383674, 41.4438821), (2.2383701, 41.44387), (2.2385313, 41.4437421), (2.2385432, 41.4437399), (2.2385536, 41.4437389), (2.2385642, 41.4437387), (2.2385954, 41.4437139), (2.2385952, 41.443706), (2.2385959, 41.4436981), (2.2385982, 41.4436891), (2.2387598, 41.443561), (2.2387723, 41.4435587), (2.2387873, 41.4435576), (2.2388023, 41.443558), (2.2388171, 41.44356), (2.2388313, 41.4435634), (2.2389129, 41.4434985), (2.2390575, 41.4436016), (2.2390859, 41.4435969), (2.2391435, 41.443638), (2.2391389, 41.4436596), (2.239275, 41.4437567), (2.2387166, 41.4442002)]"
parking,19.516616314199396,surface,,unknown,"[(2.3043865, 41.8155687), (2.3040487, 41.8156268), (2.304015, 41.8155566), (2.3039762, 41.8155021), (2.3039362, 41.8154621), (2.3039625, 41.8154187), (2.3042, 41.8154885), (2.3043865, 41.8155687)]"
parking,19.516616314199396,,,unknown,"[(2.0878287, 41.5556318), (2.0879471, 41.5554434), (2.0879962, 41.5554606), (2.0880207, 41.5554224), (2.087972, 41.5554063), (2.0880901, 41.5552033), (2.0881493, 41.5552215), (2.0881659, 41.5551979), (2.0881981, 41.5552103), (2.08823, 41.5552226), (2.0882149, 41.5552458), (2.088267, 41.5552625), (2.0881454, 41.5554664), (2.088087, 41.5554464), (2.0880635, 41.5554853), (2.0881184, 41.5555059), (2.0880918, 41.5555498), (2.0879815, 41.5557317), (2.0879327, 41.5557122), (2.0879418, 41.5557933), (2.0882643, 41.5559285), (2.0885687, 41.5560496), (2.0881027, 41.5564989), (2.0878229, 41.556717), (2.0876837, 41.5566389), (2.0874787, 41.556959), (2.0871006, 41.5568296), (2.0877073, 41.5558345), (2.0877417, 41.5557801), (2.0877696, 41.5557486), (2.0878287, 41.5556318)]"
parking,19.516616314199396,surface,,unknown,"[(1.8185059, 42.0771161), (1.8188861, 42.0769537), (1.8190461, 42.077107), (1.8185165, 42.0773553), (1.8185059, 42.0771161)]"
parking,19.516616314199396,,,no,"[(1.7251904, 42.2298973), (1.7251464, 42.22994), (1.7250355, 42.2299246), (1.7248922, 42.2298664), (1.7247558, 42.2297963), (1.7245263, 42.229686), (1.7246263, 42.2295686), (1.7251904, 42.2298973)]"
parking,19.516616314199396,surface,,unknown,"[(1.7337336, 42.2279135), (1.7344228, 42.2281065), (1.7344753, 42.2282856), (1.7344318, 42.2283098), (1.7336902, 42.2280261), (1.7337336, 42.2279135)]"
parking,19.516616314199396,surface,,unknown,"[(1.7886542, 41.4230658), (1.7883206, 41.4234963), (1.7882257, 41.4234607), (1.7881903, 41.4235013), (1.7879535, 41.4234008), (1.787667, 41.4232771), (1.7871353, 41.4230476), (1.787766, 41.4227931), (1.7880975, 41.4229357), (1.7881758, 41.4228431), (1.7886542, 41.4230658)]"
parking,19.516616314199396,surface,,unknown,"[(2.7528976, 41.6451893), (2.7528381, 41.6452021), (2.7518657, 41.6450336), (2.7515458, 41.6449659), (2.751569, 41.6449129), (2.7518488, 41.6449806), (2.7518942, 41.6449243), (2.7523568, 41.6450423), (2.7526511, 41.6451237), (2.7528976, 41.6451893)]"
parking,19.516616314199396,surface,,unknown,"[(2.7529968, 41.645203), (2.7534653, 41.6452562), (2.7534689, 41.6452745), (2.7529993, 41.6452238), (2.7529968, 41.645203)]"
parking,19.516616314199396,,,unknown,"[(2.2259554, 41.5347583), (2.2267158, 41.5342735), (2.2277797, 41.5351641), (2.2270766, 41.5356343), (2.2259554, 41.5347583)]"
parking,53.0,surface,,unknown,"[(2.1919943, 41.4606352), (2.1920117, 41.4607377), (2.1920457, 41.4609226), (2.1921047, 41.4610076), (2.1921091, 41.461061), (2.1920502, 41.4611885), (2.1919956, 41.4612654), (2.1918787, 41.4612421), (2.1918256, 41.4612478), (2.191729, 41.4612097), (2.1916496, 41.461185), (2.1915316, 41.4610975), (2.1914824, 41.4610593), (2.1917207, 41.4608833), (2.1918508, 41.4607758), (2.1918857, 41.4607155), (2.1918937, 41.4606843), (2.1918937, 41.4606311), (2.1919416, 41.4606335), (2.1919943, 41.4606352)]"
parking,19.516616314199396,surface,,unknown,"[(1.8831696, 42.2318572), (1.8833228, 42.2317658), (1.883605, 42.2316797), (1.8837241, 42.2319517), (1.8837028, 42.2320021), (1.8835355, 42.2319947), (1.8833965, 42.231979), (1.8832916, 42.2319475), (1.8831696, 42.2318572)]"
parking,19.516616314199396,surface,,no,"[(1.6334801, 41.5676272), (1.6335181, 41.5677712), (1.633575, 41.5679387), (1.6344413, 41.568338), (1.6345771, 41.5683781), (1.6345402, 41.568466), (1.6342913, 41.5684669), (1.6338788, 41.5683505), (1.6335608, 41.5681764), (1.6333568, 41.5680246), (1.6332819, 41.5678755), (1.6332623, 41.5677065), (1.6332554, 41.5676393), (1.6334801, 41.5676272)]"
parking,19.516616314199396,surface,,no,"[(1.7978834, 41.7048609), (1.7974992, 41.7046231), (1.7971421, 41.7044473), (1.7971441, 41.7044221), (1.7971691, 41.7043819), (1.7972133, 41.7043704), (1.7972652, 41.7043977), (1.797665, 41.7045642), (1.7981071, 41.7046847), (1.7982435, 41.7047034), (1.7983031, 41.7046976), (1.7983354, 41.7046366), (1.7984879, 41.7046824), (1.7983869, 41.7047498), (1.7980627, 41.7049487), (1.7978834, 41.7048609)]"
parking,19.516616314199396,,,no,"[(1.8047532, 41.7047234), (1.8047076, 41.7045924), (1.8045697, 41.7041695), (1.8044859, 41.7039782), (1.8047766, 41.7040469), (1.8050491, 41.7041523), (1.8051542, 41.7042528), (1.8052593, 41.704476), (1.8052889, 41.7046255), (1.8048093, 41.7047187), (1.8047532, 41.7047234)]"
parking,19.516616314199396,,,unknown,"[(1.9642263, 41.5580512), (1.9642628, 41.5578267), (1.9663838, 41.5579946), (1.9663602, 41.5582299), (1.9662919, 41.5582247), (1.9662754, 41.5583242), (1.9663447, 41.5583284), (1.9663212, 41.5585041), (1.9663394, 41.5585939), (1.966256, 41.5586427), (1.9661647, 41.5586232), (1.9661005, 41.5586046), (1.9661082, 41.5585365), (1.9657342, 41.558508), (1.9657264, 41.5585822), (1.9641632, 41.5584805), (1.9641694, 41.5584381), (1.9642263, 41.5580512)]"
parking,19.516616314199396,,,unknown,"[(1.9965568, 41.568515), (1.9963643, 41.5683155), (1.996458, 41.5682671), (1.9966614, 41.5684541), (1.9965568, 41.568515)]"
parking,19.516616314199396,lane,,unknown,"[(2.3091983, 41.4877151), (2.3092123, 41.4876556), (2.3096139, 41.4874947), (2.309658, 41.4874984), (2.3096511, 41.4876522), (2.3088677, 41.4879374), (2.3090769, 41.4877991), (2.3091983, 41.4877151)]"
parking,19.516616314199396,surface,,unknown,"[(1.9946016, 41.5689996), (1.9944004, 41.5687493), (1.9945095, 41.5687034), (1.9944751, 41.5685941), (1.9947426, 41.5684921), (1.994792, 41.5685973), (1.9949392, 41.5687886), (1.9946016, 41.5689996)]"
parking,19.516616314199396,surface,,unknown,"[(2.3980457, 41.9827849), (2.3982832, 41.982908), (2.3983228, 41.9829256), (2.3983623, 41.9829413), (2.3983992, 41.9829608), (2.3984413, 41.9829726), (2.3984861, 41.9829785), (2.3985309, 41.9829785), (2.3985889, 41.9830529), (2.3985668, 41.9830927), (2.3984764, 41.9830583), (2.3983868, 41.983046), (2.3983019, 41.983046), (2.3982336, 41.9830548), (2.3981617, 41.9830749), (2.398098, 41.9831003), (2.3980367, 41.9831328), (2.3979578, 41.9831696), (2.3978976, 41.9831617), (2.3978894, 41.9831135), (2.3978976, 41.9830276), (2.3979197, 41.9828839), (2.3979617, 41.9828737), (2.3980457, 41.9827849)]"
parking,19.516616314199396,surface,,no,"[(1.8389829, 41.7907908), (1.8391421, 41.790751), (1.8392467, 41.7906637), (1.839242, 41.790822), (1.8392608, 41.790879), (1.8393011, 41.7909499), (1.838764, 41.7911157), (1.8387117, 41.7910346), (1.8386862, 41.7908651), (1.8389829, 41.7907908)]"
parking,19.516616314199396,surface,,no,"[(1.8784064, 41.8157945), (1.8788928, 41.8158905), (1.8787225, 41.8159395), (1.8786339, 41.8159884), (1.8785137, 41.8160876), (1.8784654, 41.8160277), (1.8784225, 41.8159637), (1.8784064, 41.8158917), (1.8784064, 41.8158238), (1.8784064, 41.8157945)]"
parking,19.516616314199396,,,unknown,"[(1.9184833, 41.4830598), (1.9184583, 41.4830088), (1.9186589, 41.4828868), (1.9187896, 41.4827955), (1.9189439, 41.4826426), (1.9190767, 41.482501), (1.9191978, 41.482314), (1.9192559, 41.482214), (1.9192721, 41.4821898), (1.9192646, 41.4821162), (1.9189179, 41.482065), (1.9189073, 41.4819656), (1.9195543, 41.4820302), (1.9196094, 41.482098), (1.9195329, 41.4822691), (1.9194042, 41.4825148), (1.919252, 41.4827239), (1.9189651, 41.4829992), (1.9185323, 41.4832368), (1.9185022, 41.4832036), (1.9185586, 41.483143), (1.9184833, 41.4830598)]"
